commit	val_bpb	memory_gb	mfu	tok_per_sec	num_steps	num_params_M	batch_size	final_loss	status	description
dc5db03	1.318778	5.5	56.6	36081	672	162.1	4	3.198	discard	ReLU² MLP instead of SwiGLU (hypothesis: 2 larger matmuls better GPU utilization than 3 smaller; evidence: speedrun leaderboards use ReLU²): val_bpb 1.262→1.319 MUCH WORSE. SwiGLU's gated activation is clearly superior at this scale/budget. ReLU² lacks the gating mechanism that helps SwiGLU converge faster.
6d75a72	1.265325	5.5	57.9	36727	686	162.1	4	3.117	discard	Muon NS iterations 5→4 (hypothesis: fewer orthogonalization steps save compute per Turbo-Muon paper; evidence: arxiv 2512.04632): val_bpb 1.262→1.265 WORSE (delta 0.004). Optimization quality degraded — 4 NS steps insufficient without AOL preconditioner. Need full Turbo-Muon implementation not just fewer steps.
aaf9a1f	1.269199	5.5	57.9	37063	685	162.1	4	3.121	discard	WARMUP_RATIO 0.05→0.02 (hypothesis: shorter warmup gives 20 more steps at full LR; evidence: QK-Norm + softcap stabilize early training): val_bpb 1.262→1.269 WORSE. Shorter warmup causes early gradient noise that hurts learning — 5% warmup (34 steps) is needed for stable ramp-up even with QK-Norm.
620a7a7	1.233397	7.0	51.7	35300	652	200.7	4	2.930	keep	value embeddings: shared nn.Embedding(50257x768) added to attention values at all 12 layers (hypothesis: adds 38.6M 'free FLOP' params using 3GB VRAM headroom for direct token→value path; evidence: VE technique shown to boost small model quality): val_bpb 1.262→1.233 (0.028 improvement). MFU 58→52% (embedding lookup overhead) but capacity gain dominates. 200.7M params vs 162.1M. Confirms VE adds complementary capacity to x0 skip connections.
b46cc9e	1.229346	7.0	53.0	35900	670	200.7	4	2.913	keep	cosine warmdown instead of linear (hypothesis: cosine keeps LR higher during early warmdown for more learning per step; evidence: cosine widely adopted in GPT-3/LLaMA/Chinchilla): val_bpb 1.233→1.229 (0.004 improvement). 670 steps vs 652 (cosine maintains higher LR longer → more effective steps). Confirms cosine > linear for warmdown.
7e681dd	1.229203	7.0	53.2	36100	670	200.7	4	2.909	discard	WARMDOWN_RATIO 0.5→0.6 + autotune refresh with expanded batch candidates (hypothesis: longer cosine cooldown improves convergence; evidence: 0.3→0.5 helped by 0.004): val_bpb 1.229→1.229 NO improvement (delta <0.001). Autotune still chose batch_size=4. 0.5 is near-optimal warmdown ratio — further increase gives diminishing returns.
9a8eaa3	1.253550	7.0	52.3	35247	647	200.7	4	3.080	discard	U-Net skip connections with sigmoid gating (layer 0→11, 1→10, etc., init -1.5 sigmoid≈0.18) (hypothesis: skip connections improve gradient flow/feature reuse at zero compute cost; evidence: U-Net skips shown effective in some speedrun setups): val_bpb 1.229→1.254 WORSE. Skip connections interfered with existing x0 residual stream — two skip mechanisms compete rather than complement. The x0 lambdas already provide global gradient shortcuts; U-Net skips add redundant paths that dilute learned representations.
6a39bd5	1.245229	8.2	49.3	32596	606	239.3	4	3.090	discard	2 VE groups (layers 0-5 share VE1, layers 6-11 share VE2) instead of 1 shared VE (hypothesis: separate VE modules let early/late layers specialize different token→value mappings using 2.4GB VRAM headroom; evidence: multiple VE groups shown to help in some setups): val_bpb 1.229→1.245 WORSE. 239M params (+39M) but MFU dropped 53→49% and steps 670→606 (-10%). Extra VE embedding lookups are bandwidth-bound, slowing each step. The capacity gain from VE specialization doesn't offset losing 64 optimizer steps.
fa89372	1.234214	7.0	57.4	35176	655	200.7	4	3.003	discard	z-loss regularization 1e-4*logits^2.mean() (hypothesis: prevents logit drift for better convergence at zero throughput cost; evidence: PaLM/Gemma use z-loss): val_bpb 1.229→1.234 WORSE (delta +0.005). MFU 57.4% (good — no overhead). z-loss is redundant with softcap=30 which already bounds logits to [-30,30]. The extra gradient from z-loss slightly hurts optimization without providing new signal.
f6afe08	1.296943	7.0	56.9	34228	642	200.7	4	3.183	discard	HEAD_DIM 128→64 (6 heads→12 heads) (hypothesis: more attention heads = more diverse patterns at same FLOPs; evidence: SOTA small models use HEAD_DIM=64): val_bpb 1.229→1.297 MUCH WORSE. Smaller head dim reduces per-head capacity too much — 128-dim heads better capture position/semantic info via RoPE at 768 dim. More heads ≠ better at this scale.
0368d59	1.264137	7.0	53.7	35165	621	200.7	4	3.238	discard	parallel attn+MLP (PaLM-style: x = x + attn(norm(x)) + mlp(norm(x))) (hypothesis: both branches see same input enabling independent specialization + saves one norm per layer; evidence: PaLM/GPT-J use this): val_bpb 1.229→1.264 WORSE. Sequential residuals let MLP refine attention output which is critical — parallel blocks lose this sequential refinement at our scale.
edee52e	1.217980	7.0	53.0	35567	659	200.7	4	3.079	keep	softcap 30→15 (hypothesis: tighter logit cap provides stronger gradient signal near boundary for faster convergence + implicit regularization; evidence: empirical best practice for 50K vocab): val_bpb 1.229→1.218 (0.011 improvement). 659 steps vs 670 similar throughput. Confirms softcap=30 was too permissive — 15 better constrains logit range for 50K vocab.
f152558	1.229451	6.2	52.0	32779	620	200.7	4	3.153	discard	Muon beta2 0.95→0.9 (hypothesis: faster variance adaptation improves convergence; evidence: some practitioners report beta2=0.9 improves training): val_bpb 1.218→1.229 WORSE. Lower beta2 causes noisier updates that hurt training — 0.95 gives better smoothing for our 200M model. MFU also dropped 53→52%.
f8eb425	1.279678	6.0	49.0	24000	473	252.1	2	3.365	discard	ASPECT_RATIO 64→72 (n_embd 768→896, 252M params) (hypothesis: wider model uses 5GB VRAM headroom for more capacity; evidence: web search favors width over depth for short budgets): val_bpb 1.218→1.280 WORSE. Autotune dropped batch 4→2 killing throughput (31M vs 43M tokens). Width increase NOT worth it — batch size penalty dominates capacity gain.
6b09c74	1.226926	5.2	50.5	33766	627	200.7	2	3.055	discard	softcap 15→10 (hypothesis: tighter logit cap gives stronger gradient regularization since 30→15 gave +0.011; evidence: exp30): val_bpb 1.218→1.227 WORSE. Also autotune regressed batch_size 4→2 (stale cache?) which killed MFU 53→50.5%. Softcap=10 too restrictive — limits model expressiveness. Need to fix autotune cache.
c92e2ae	1.227580	5.2	50.9	34552	634	200.7	2	0.000	discard	AUTOTUNE_MAX_MEMORY_FRACTION 0.90→0.95 (hypothesis: higher memory limit lets autotune pick batch_size=4 again after stale cache regression; evidence: exp32 softcap=10 regressed batch 4→2): val_bpb 1.218→1.228 WORSE. Still batch_size=2 — autotune cache is the issue not the fraction. Need to delete cache and refresh.
8565a5a	1.235025	5.5	50.3	30328	556	214.9	2	3.157	discard	DEPTH 12→14 at same 768 dim (ASPECT_RATIO 64→54, 215M params) (hypothesis: deeper model converges faster per token in token-starved regime; evidence: scaling law research + landscape scan): val_bpb 1.218→1.235 WORSE. 556 steps/36M tokens vs 659/43M — 17% fewer tokens hurt more than 2 extra layers helped. Also autotune chose batch=2 (not 4) even with fresh cache for 215M model. Depth increase NOT worth it at this compute budget.
8167940	1.204070	4.9	55.6	38411	704	200.7	2	3.180	keep	FP8 training via torchao convert_to_float8_training (hypothesis: FP8 matmuls on Blackwell tensor cores increase throughput for more tokens in 20 min; evidence: landscape scan + torchao docs): val_bpb 1.218→1.204 (0.014 improvement). 704 steps/46.1M tokens vs 659/43M — 7% more tokens processed. MFU 55.6% (up from 53%). Despite batch=2 (autotune eager-mode issue), FP8 faster per step. Only lm_head excluded (50257 not div by 16).
b1b8753	1.186515	6.3	60.5	41708	765	200.7	4	3.080	keep	AUTOTUNE_MAX_MEMORY_FRACTION 0.90→0.98 (hypothesis: higher threshold lets eager-mode autotune accept batch=4 which compiled+FP8 mode can handle easily; evidence: compiled uses ~5GB at batch=2 vs eager ~8GB): val_bpb 1.204→1.187 (0.018 improvement). batch=4 restored! 765 steps/50.1M tokens vs 704/46.1M (+9% tokens). MFU 60.5% (was 55.6%). FP8+batch4 is a huge throughput win.
d0aa13e	1.190775	7.3	62.6	42548	791	200.8	4	3.143	discard	Pad vocab 50257→50304 for full FP8 coverage on lm_head (hypothesis: lm_head FP8 gives +4% throughput; evidence: lm_head is largest matmul excluded from FP8): val_bpb 1.187→1.191 WORSE (+0.004). Throughput improved 41.7K→42.5K (+2%) and MFU 60.5→62.6% but extra softmax width (50304 vs 50257) slightly hurts convergence. 791 steps/51.8M tokens. Throughput gain doesn't offset convergence penalty.
3f5b4d7	1.187941	6.3	62.1	41216	756	200.7	4	3.060	discard	FP8 tensorwise recipe via Float8LinearConfig.from_recipe_name('tensorwise') (hypothesis: tensorwise scaling has less overhead than default for 768-dim model; evidence: torchao docs say tensorwise is fastest): val_bpb 1.187→1.188 NO improvement (delta +0.001). MFU 62.1% same as default FP8. Tensorwise recipe is already the default behavior — no change.
a1d70b9	0.000000	0.0	0.0	0	0	0.0	0	0.000	crash	MXFP8 via torchao MXLinearConfig mxfp8_cublas (hypothesis: Blackwell-native block-32 scaling reduces FP8 overhead): CRASH — torchao cpp extensions incompatible with torch 2.9.1 ('torchao::mxfp8_quantize' CUDA kernel not found). Need torchao version matching torch 2.9.1 for native MXFP8 kernels.
5788fd7	1.184821	7.8	67.2	46386	849	200.7	4	3.008	keep	MXFP8 cuBLAS native training (Blackwell block-32 microscaling via torchao _C_mxfp8.pyd built from source with CUDA 12.8 nvcc sm_100a+sm_120; hypothesis: MXFP8 block-32 scaling uses dedicated Blackwell tensor core datapaths for higher throughput than standard per-tensor FP8; evidence: PyTorch blog 1.22-1.28x speedup on B200): val_bpb 1.187->1.185 (marginal) BUT tok/sec 41708->46386 (+11.2%); MFU 60.5->67.2%; 849 steps/55.6M tokens (best ever). MXFP8 cuBLAS is strictly better than standard FP8 on Blackwell.
3d3b084	1.203318	8.5	56.5	38423	708	201.3	4	4.743	discard	MTP auxiliary loss: predict t+2 from position t (weight 0.3) via residual mtp_proj Linear(768x768) + shared lm_head (hypothesis: MTP adds ~1.3x learning signal per token to improve data efficiency in token-starved regime 55.6M tokens/200M params; evidence: Meta MTP paper): val_bpb 1.185->1.203 WORSE. 17% throughput loss (46.4M vs 55.6M tokens) from extra lm_head computation NOT compensated by auxiliary learning signal. MTP overhead too expensive for 20-min budget — tokens-processed dominates over data-efficiency gains at this scale.
056d498	0.000000	0.0	0.0	0	0	0.0	0	0.000	crash	compile mode=reduce-overhead for CUDA graphs (hypothesis: reduce CPU dispatch overhead to boost MFU; evidence: PyTorch docs): CRASH — CUDA graphs overwrites embedding tensor outputs between iterations. Known incompatibility with nn.Embedding in reduce-overhead mode. Would need cudagraph_mark_step_begin() but that defeats the purpose.
4475d25	1.158602	8.6	79.4	53099	990	200.7	4	2.903	keep	selective MLP-only activation checkpointing (hypothesis: checkpoint only MLP ~2/3 of activations instead of full block to reduce recompute penalty; evidence: MLPs dominate activation memory while attention is cheap): val_bpb 1.185->1.159 (0.026 improvement). MFU 67.2->79.4% (+12%). tok/sec 46K->53K (+14%). Steps 849->990 (+17%). 64.9M tokens (best ever). Huge throughput win from eliminating unnecessary attention recompute.
0d9db40	0.000000	0.0	0.0	0	0	0.0	0	0.000	crash	weight tying + Gemma sqrt(n_embd) scaling with unembedding_lr=0.004 for tied weights (hypothesis: sqrt(d) scaling boosts embedding signal to compensate for low LR; evidence: Gemma paper): FAILED — loss stuck at 10.825 (random init) after 349 steps. 0.004 LR too low even with 27.7x embedding scaling. The tied weight needs dual-rate optimization (high for embedding role low for output role) which AdamW cant provide for a single tensor. Weight tying fundamentally incompatible with our separate embedding/unembedding LR architecture.
0dc2fe8	1.141604	8.6	84.3	62310	1132	200.7	4	2.940	keep	FlexAttention SSSL sliding window (9/12 layers use window=1024, every 4th full attention via flex_attention API) (hypothesis: slash early-layer FLOPs by ~35% while maintaining quality with full attention every 4th layer; evidence: Qwen/Mistral hybrid architectures): val_bpb 1.159->1.142 (0.017 improvement). MFU 79->84%. tok/sec 53K->62K (+17%). Steps 990->1132 (+14%). 74.2M tokens (best ever). flex_attention enables hardware-optimized sliding window kernels.
edfe472	1.146758	8.8	85.1	58308	1080	207.8	4	2.999	discard	Qwen 3.5-style gated attention: sigmoid gate Y*sigmoid(X@W_gate) before c_proj on all 12 layers (hypothesis: eliminates attention sink problem for faster convergence; evidence: NeurIPS 2025 best paper arxiv 2505.06708): val_bpb 1.142->1.147 WORSE (+0.005). Gate adds 7M params (+3.5%) and reduces throughput 62K->58K tok/sec (-6%) costing 52 steps. Quality gain from gating doesn't compensate for fewer training tokens in 20-min budget. Technique likely helps at larger scale/longer training but hurts in our token-starved regime.
fafaf6b	1.220257	7.7	84.5	61751	1136	168.7	4	3.092	discard	low-rank VE: Embedding(50257x128) + Linear(128x768) replacing full Embedding(50257x768) (hypothesis: rank-128 retains VE capacity while cutting 38.6M->6.6M params freeing VRAM; evidence: LoRA shows low-rank works): val_bpb 1.142->1.220 MUCH WORSE (+0.079). Same throughput (74.4M tokens) but capacity severely bottlenecked. Rank 128 too small to capture the rich token->value mapping that full-rank VE provides. The full 768-dim embedding is essential for VE quality.
0ff8984	1.157256	8.6	84.7	60082	1131	200.7	4	2.978	discard	WSD LR schedule: warmup 5% + stable 80% + linear decay 15% replacing cosine warmdown 50% (hypothesis: flat max LR until 85% forces more aggressive learning per token; evidence: Llama 3 and MiniCPM prove WSD outperforms cosine in token-constrained runs): val_bpb 1.142->1.157 WORSE (+0.016). Same throughput (74.1M tokens 1131 steps). 15% linear decay too short — model doesn't converge properly. Cosine 50% warmdown is better because gradual decay gives model time to settle into good minimum. WSD works for longer training budgets but not our 20-min constraint.
2f494d1	1.145821	9.6	82.4	57000	1070	200.7	4	3.076	discard	BF16 cross_entropy: removed .float() casts from logits+loss (hypothesis: softcap=15 bounds logits to [-15,15] making FP32 unnecessary; evidence: BF16 handles exp(15) fine): val_bpb 1.142->1.146 WORSE (+0.004). MFU 84->82% and tok/sec 62K->57K also regressed — removing FP32 precision hurts both convergence AND throughput (likely because compiled graph cant fuse BF16 CE as efficiently). FP32 logit casting is load-bearing for quality.
ef1b0c7	0.000000	0.0	0.0	0	0	0.0	0	0.000	crash	MXFP4 CUTLASS training (mxfp4_cutlass recipe) (hypothesis: FP4 block-32 microscaling doubles matrix throughput vs MXFP8; evidence: Quartet paper ~2x speedup): SKIPPED — web search confirmed CUTLASS 4.x builds are broken on Windows (known issue being fixed by CUTLASS team). mxfp4_cutlass kernels not available on our platform. MXFP8 cuBLAS remains best option.
114b9ee	0.000000	0.0	0.0	0	0	0.0	0	0.000	crash	Sparse MoE MLP: 4 half-sized SwiGLU experts with Top-1 routing (hypothesis: 2x capacity at same active FLOPs; evidence: Mixtral/DeepSeek MoE): CRASHED — init_weights expects block.mlp.c_gate but MoE has no direct c_gate attr. Deeper issue: boolean indexing for expert dispatch causes torch.compile recompilation (dynamic shapes); running all experts wastes 4x compute defeating sparsity purpose. MoE incompatible with our compile-heavy pipeline at 200M scale.
7d8719c	0.000000	0.0	0.0	0	0	0.0	0	0.000	crash	Gated DeltaNet hybrid 9/12 layers via fla library (hypothesis: linear attention replaces sliding window for O(n) complexity; evidence: Qwen3.5/ICLR 2025): HUNG — process alive 20+ min without progress. torch.compile + fla Triton kernels incompatible on Windows/Python 3.10. fla warns 'not adapted for Windows' and 'torch.compile not available in Python 3.10'. GDN requires native fla kernel compilation which hangs on triton-windows. Would need Linux or Python 3.11+ for this approach.
5f2b80c	1.154587	7.1	75.5	57000	1034	200.7	2	3.030	discard	FINAL_LR_FRAC 0.1→0.01 (hypothesis: deeper LR floor improves final convergence per arxiv 2509.01440; evidence: optimizer benchmark paper): val_bpb 1.142->1.155 WORSE (+0.013). Autotune regressed to batch=2 (stale cache from GDN crash) losing 9% tokens. Also 0.01 floor too aggressive for 20-min budget — model stops learning too early in warmdown. 0.1 floor is better for our short training.
e2ba661	1.135331	7.1	75.5	59000	1105	200.7	2	3.042	keep	SHORT_WINDOW 1024→256 (hypothesis: smaller sliding window cuts attention FLOPs on 9/12 layers by 4x for more tokens in 20min; evidence: modded-nanogpt speedrun uses 128-384 windows): val_bpb 1.142→1.135 (0.006 improvement). 1105 steps/72.4M tokens vs 1132/74.2M — slightly fewer tokens (batch=2 autotune regression) but quality improved. Smaller context window forces each layer to learn local patterns efficiently.
5409686	1.118681	8.6	86.3	68430	1261	200.7	4	2.839	keep	Force batch=4 (skip eager-mode autotune which wrongly picked batch=2; hypothesis: batch=4 works fine in compiled mode with flex_attention using only 8.8GB; evidence: exp#55 showed 7.3GB at batch=2 compiled): val_bpb 1.135→1.119 (0.017 improvement). 1261 steps/82.6M tokens (up from 1105/72.4M at batch=2). MFU 86.3%. Batch=4 restores 14% more tokens processed in same 20min budget.
7ce6198	1.135252	11.9	79.6	64500	1184	200.7	8	2.829	discard	Force batch=8 (hypothesis: 3.4GB VRAM headroom means batch=8 fits for more throughput; evidence: exp#56 peak=8.8GB at batch=4): val_bpb 1.119→1.135 WORSE. Peak VRAM 12.2GB (nearly OOM). tok/sec dropped 68K→64K (-6%) and MFU 86→80% because larger forward pass offsets reduced grad_accum. Fewer tokens (77.6M vs 82.6M). batch=4 is optimal — batch=8 too memory-intensive.
128622e	1.132081	8.9	85.3	60347	1117	214.9	4	2.897	discard	DEPTH 12→14 same 768 dim (AR 64→54, 215M params) with MXFP8+flex_attention (hypothesis: 2 extra layers add capacity using 3.4GB VRAM headroom; evidence: prev d14 failed pre-MXFP8 but now have 2.3x throughput): val_bpb 1.119→1.132 WORSE (+0.013). 1117 steps/73.2M tokens vs 1261/82.6M at d12 — 12% fewer tokens outweigh capacity from 2 extra layers. MFU 85.3% still great but per-step cost too high. Confirms d12 is optimal depth for this compute budget.
f2f6de6	1.129355	8.6	83.6	68244	1242	200.7	4	2.758	discard	EMA weights during last 30% (decay=0.98, every 5 steps, CPU-side) (hypothesis: SWA smooths late-training trajectory for better minimum; evidence: SWA literature claims 0.01-0.02 BPB gain): val_bpb 1.119→1.129 WORSE (+0.011). EMA over-averages the converged weights — blends strong final params with weaker earlier ones. MFU 86→84% from CPU copy overhead. Also 1242 vs 1261 steps (lost 19 steps). EMA decay=0.98 too aggressive for only ~370 EMA steps — would need decay>0.999 or smaller window.
33b89a4	1.229732	8.6	80.0	64044	5125	200.7	4	3.135	discard	Dynamic grad_accum curriculum (1→2→4 at 0/50/80% progress) (hypothesis: small batch early = more steps + noise regularizer; large batch late = precise convergence; evidence: exp#5 small batch helped): val_bpb 1.119→1.230 MUCH WORSE (+0.111). 5125 steps but most with batch=8K tokens too noisy for Muon — optimizer needs sufficient batch for Newton-Schulz orthogonalization quality. MFU dropped 86→57% in phase 1. Small batch hurts Muon more than SGD — batch=65K (grad_accum=8) is load-bearing for this optimizer.
75a552c	1.146746	8.7	91.7	68501	1253	232.8	4	2.967	discard	Heterogeneous MLP-only layers (odd layers 1,3,5,7,9,11 = MLP-only, no attention) + wider 768→896 dim (hypothesis: remove attention from alternate layers and reinvest in width; evidence: 'attention not needed every layer' literature): val_bpb 1.119→1.147 WORSE (+0.028). MFU 86→92% (huge throughput gain from MLP-only layers). Same tokens (82.1M vs 82.6M). But 6/12 layers without attention can't model long-range dependencies — every-layer attention is load-bearing for language modeling at this 200M scale. Width gain (768→896) doesn't compensate for halved attention capacity.
aba3d08	1.242453	11.9	43.6	31025	570	207.8	4	3.186	discard	Differential attention: double c_q to 12 sub-heads, keep 6 KV heads (GQA 2:1), subtract output pairs with learned lambda=0.8 (hypothesis: diff attention cancels noise for better per-token learning in undertrained regime; evidence: ICLR 2025 paper): val_bpb 1.119->1.242 MUCH WORSE (+0.124). Throughput collapsed 68K->31K tok/sec (-54%), MFU 86->44%, only 37.4M tokens (vs 82.6M). Peak VRAM 12.1GB (near OOM). Doubled Q projection + 12 attention sub-heads too expensive — attention FLOPs with sliding window were NOT negligible as assumed. Diff attention needs lighter implementation (e.g. head-dim splitting not head-count doubling) to avoid throughput penalty.
8031c2f	1.161193	8.6	65.9	65500	995	200.7	4	2.930	discard	Window warmup 3-phase (128→256→512 over training) (hypothesis: progressive window growth gives faster early steps + better final quality; evidence: modded-nanogpt speedrun uses window warmup): val_bpb 1.119→1.161 WORSE (+0.042). Two torch.compile recompilations at phase transitions cost ~6 min (3 min each at 33%/67% progress), reducing total tokens 82.6M→65.2M (-21%). MFU dropped 86→66% average. Recompilation overhead dominates any quality benefit from dynamic windows. Window warmup incompatible with torch.compile without prewarming all graph variants.
5474c04	1.182850	10.7	78.9	64200	1175	277.9	4	2.941	discard	3 VE tables with per-layer learned mixing (hypothesis: multiple VE tables let layers specialize token→value mappings adding capacity without FLOPs; evidence: speedrun uses 5 VE tables): val_bpb 1.119→1.183 WORSE (+0.064). 277.9M params (+77M) used 10.9GB VRAM. MFU 86→79% and tok/sec 68K→64K. 77M tokens (vs 82.6M baseline -7%). Extra capacity from 2 more VE tables did NOT compensate for throughput loss. Per-layer mixing scalars may need gating (speedrun uses per-head sigmoid gates). Also 3x embedding lookups are bandwidth-heavy.
e6506ec	1.158224	8.6	80.1	66500	1193	200.7	4	2.980	discard	Hourglass FFN replacing SwiGLU: 2 residual sub-MLPs (hidden=1536 same params/FLOPs; hypothesis: deeper FFN with residuals better function approximator per arxiv 2602.06471; evidence: paper proves outperforms at ≤400M): val_bpb 1.119→1.158 WORSE (+0.039). MFU 86→80% and tok/sec 68K→66K. SwiGLU gating (silu*gate) is load-bearing — selective information routing beats residual depth at our scale/budget.
bb0fbb2	1.127781	9.8	78.9	64000	1173	200.8	4	2.980	discard	Causal depthwise conv1d (kernel=4) parallel to attention in each Block (hypothesis: local token mixing complements sliding window attention; evidence: H3/Mamba/Conformer use short convs): val_bpb 1.119→1.128 WORSE (+0.009). MFU 86→79% and tok/sec 68K→64K (-6%). Conv overhead costs 5.7M tokens (82.6→76.9M) which outweighs any quality benefit from local mixing. Attention already handles local context well enough.
ff18e7b	1.125900	8.6	85.3	71200	1322	200.7	4	2.833	discard	WINDOW_PATTERN SSSL→S (11 sliding + 1 forced-full last layer; hypothesis: fewer full attn layers → more tokens via throughput gain; evidence: 8 consecutive discards all from throughput loss): val_bpb 1.119→1.126 WORSE (+0.007). Throughput improved 68K→71K tok/sec (+5%) and 82.6→86.6M tokens (+5%). But losing 2 full-attention layers (3,7) hurt quality more than extra tokens helped. SSSL pattern's every-4th-layer full attention is load-bearing for long-range modeling.
356b419	1.115866	9.6	91.9	71000	658	200.7	4	2.980	keep	TOTAL_BATCH_SIZE 2^16→2^17 (hypothesis: 2x batch gives higher quality Muon Newton-Schulz gradients; evidence: Muon scaling paper + exp#60 proved small batch hurts): val_bpb 1.119→1.116 (0.003 improvement). MFU 86→92% (+7pp!) and tok/sec 68K→71K. 86.2M tokens (up from 82.6M +4.4%). 658 steps (halved from 1261). Larger batch saturates GPU better (16 grad_accum vs 8) AND improves Muon update quality. Breaks 10-experiment plateau!
